Data,Trocas_Oleo,Manutencao_Motor
2024-07-03,13.0,5.0
2024-07-04,16.0,7.0
2024-07-05,30.0,12.0
2024-07-06,28.0,10.0
2024-07-07,26.0,10.0
2024-07-08,9.0,5.0
2024-07-09,12.0,2.0
2024-07-10,16.0,6.0
2024-07-11,14.0,4.0
2024-07-12,24.0,11.0
2024-07-13,28.0,8.0
2024-07-14,29.0,10.0
2024-07-15,10.0,4.0
2024-07-16,13.0,8.0
2024-07-17,12.0,4.0
2024-07-18,9.0,2.0
2024-07-19,28.0,85.0
2024-07-20,28.0,8.0
2024-07-21,30.0,7.0
2024-07-22,15.0,6.0
2024-07-23,7.0,1.0
2024-07-24,8.0,1.0
2024-07-25,13.0,6.0
2024-07-26,27.0,11.0
2024-07-27,27.0,9.0
2024-07-28,37.0,12.0
2024-07-29,12.0,6.0
2024-07-30,14.0,6.0
2024-07-31,13.0,5.0
2024-08-01,12.0,8.0
2024-08-02,24.0,7.0
2024-08-03,27.0,7.0
2024-08-04,23.0,7.0
2024-08-05,9.0,3.0
2024-08-06,8.0,3.0
2024-08-07,10.0,3.0
2024-08-08,16.0,7.0
2024-08-09,19.0,5.0
2024-08-10,26.0,13.0
2024-08-11,19.0,7.0
2024-08-12,8.0,5.0
2024-08-13,12.0,5.0
2024-08-14,9.0,4.0
2024-08-15,5.0,3.0
2024-08-16,21.0,9.0
2024-08-17,26.0,11.0
2024-08-18,21.0,11.0
2024-08-19,9.0,3.0
2024-08-20,8.0,4.0
2024-08-21,6.0,2.0
2024-08-22,14.0,8.0
2024-08-23,25.0,8.0
2024-08-24,17.0,10.0
2024-08-25,23.0,9.0
2024-08-26,6.0,0.0
2024-08-27,10.0,4.0
2024-08-28,5.0,0.0
2024-08-29,7.0,4.0
2024-08-30,24.0,8.0
2024-08-31,25.0,9.0
2024-09-01,19.0,3.0
2024-09-02,6.0,1.0
2024-09-03,6.0,-2.0
2024-09-04,5.0,-1.0
2024-09-05,12.0,6.0
2024-09-06,23.0,10.0
2024-09-07,18.0,8.0
2024-09-08,25.0,8.0
2024-09-09,13.0,5.0
2024-09-10,10.0,3.0
2024-09-11,2.0,-1.0
2024-09-12,5.0,5.0
2024-09-13,26.0,12.0
2024-09-14,20.0,7.0
2024-09-15,23.0,9.0
2024-09-16,9.0,4.0
2024-09-17,4.0,-2.0
2024-09-18,7.0,2.0
2024-09-19,0.0,-1.0
2024-09-20,19.0,5.0
2024-09-21,21.0,7.0
2024-09-22,18.0,10.0
2024-09-23,12.0,6.0
2024-09-24,3.0,0.0
2024-09-25,6.0,3.0
2024-09-26,7.0,5.0
2024-09-27,26.0,12.0
2024-09-28,18.0,7.0
2024-09-29,25.0,8.0
2024-09-30,7.0,4.0
2024-10-01,4.0,2.0
2024-10-02,8.0,4.0
2024-10-03,8.0,4.0
2024-10-04,20.0,10.0
2024-10-05,22.0,7.0
2024-10-06,21.0,11.0
2024-10-07,8.0,3.0
2024-10-08,9.0,7.0
2024-10-09,12.0,3.0
2024-10-10,4.0,5.0
2024-10-11,29.0,11.0
2024-10-12,17.0,5.0
2024-10-13,22.0,7.0
2024-10-14,9.0,2.0
2024-10-15,9.0,4.0
2024-10-16,6.0,3.0
2024-10-17,7.0,1.0
2024-10-18,21.0,8.0
2024-10-19,21.0,12.0
2024-10-20,26.0,13.0
2024-10-21,9.0,4.0
2024-10-22,6.0,2.0
2024-10-23,11.0,4.0
2024-10-24,9.0,4.0
2024-10-25,26.0,8.0
2024-10-26,26.0,9.0
2024-10-27,21.0,
2024-10-28,7.0,
2024-10-29,11.0,
2024-10-30,11.0,3.0
2024-10-31,9.0,6.0
2024-11-01,25.0,7.0
2024-11-02,28.0,8.0
2024-11-03,23.0,9.0
2024-11-04,11.0,6.0
2024-11-05,9.0,6.0
2024-11-06,9.0,2.0
2024-11-07,13.0,7.0
2024-11-08,28.0,11.0
2024-11-09,28.0,10.0
2024-11-10,29.0,13.0
2024-11-11,11.0,5.0
2024-11-12,13.0,2.0
2024-11-13,10.0,6.0
2024-11-14,12.0,7.0
2024-11-15,26.0,9.0
2024-11-16,27.0,11.0
2024-11-17,28.0,12.0
2024-11-18,9.0,4.0
2024-11-19,18.0,6.0
2024-11-20,9.0,2.0
2024-11-21,9.0,3.0
2024-11-22,31.0,14.0
2024-11-23,30.0,13.0
2024-11-24,30.0,11.0
2024-11-25,15.0,7.0
2024-11-26,13.0,0.0
2024-11-27,10.0,6.0
2024-11-28,14.0,2.0
2024-11-29,27.0,10.0
2024-11-30,32.0,10.0
2024-12-01,28.0,8.0
2024-12-02,12.0,7.0
2024-12-03,13.0,4.0
2024-12-04,16.0,7.0
2024-12-05,13.0,5.0
2024-12-06,27.0,11.0
2024-12-07,31.0,12.0
2024-12-08,31.0,9.0
2024-12-09,14.0,7.0
2024-12-10,14.0,4.0
2024-12-11,16.0,3.0
2024-12-12,12.0,3.0
2024-12-13,27.0,13.0
2024-12-14,29.0,13.0
2024-12-15,31.0,11.0
2024-12-16,18.0,6.0
2024-12-17,21.0,7.0
2024-12-18,20.0,12.0
2024-12-19,17.0,7.0
2024-12-20,32.0,13.0
2024-12-21,30.0,14.0
2024-12-22,33.0,13.0
2024-12-23,17.0,6.0
2024-12-24,19.0,7.0
2024-12-25,16.0,6.0
2024-12-26,20.0,7.0
2024-12-27,38.0,16.0
2024-12-28,34.0,13.0
2024-12-29,35.0,15.0
2024-12-30,22.0,8.0
2024-12-31,18.0,7.0
2025-01-01,20.0,4.0
2025-01-02,20.0,9.0
2025-01-03,35.0,14.0
2025-01-04,33.0,15.0
2025-01-05,36.0,8.0
2025-01-06,22.0,12.0
2025-01-07,25.0,9.0
2025-01-08,24.0,11.0
2025-01-09,28.0,9.0
2025-01-10,34.0,14.0
2025-01-11,39.0,13.0
2025-01-12,37.0,13.0
2025-01-13,29.0,15.0
2025-01-14,20.0,7.0
2025-01-15,20.0,8.0
2025-01-16,21.0,10.0
2025-01-17,31.0,13.0
2025-01-18,36.0,14.0
2025-01-19,36.0,15.0
2025-01-20,24.0,14.0
2025-01-21,25.0,9.0
2025-01-22,29.0,12.0
2025-01-23,27.0,12.0
2025-01-24,37.0,17.0
2025-01-25,37.0,17.0
2025-01-26,41.0,17.0
2025-01-27,21.0,6.0
2025-01-28,30.0,15.0
2025-01-29,29.0,9.0
2025-01-30,24.0,10.0
2025-01-31,35.0,12.0
2025-02-01,45.0,17.0
2025-02-02,40.0,16.0
2025-02-03,30.0,12.0
2025-02-04,21.0,9.0
2025-02-05,24.0,12.0
2025-02-06,26.0,11.0
2025-02-07,42.0,16.0
2025-02-08,40.0,17.0
2025-02-09,44.0,19.0
2025-02-10,24.0,7.0
2025-02-11,27.0,11.0
2025-02-12,28.0,12.0
2025-02-13,29.0,11.0
2025-02-14,45.0,20.0
2025-02-15,40.0,15.0
2025-02-16,38.0,15.0
2025-02-17,32.0,12.0
2025-02-18,29.0,11.0
2025-02-19,26.0,8.0
2025-02-20,33.0,10.0
2025-02-21,44.0,20.0
2025-02-22,47.0,17.0
2025-02-23,44.0,15.0
2025-02-24,35.0,9.0
2025-02-25,35.0,12.0
2025-02-26,29.0,8.0
2025-02-27,32.0,16.0
2025-02-28,47.0,20.0
2025-03-01,49.0,18.0
2025-03-02,42.0,21.0
2025-03-03,32.0,14.0
2025-03-04,33.0,12.0
2025-03-05,25.0,5.0
2025-03-06,27.0,15.0
2025-03-07,39.0,12.0
2025-03-08,45.0,14.0
2025-03-09,48.0,21.0
2025-03-10,35.0,18.0
2025-03-11,31.0,15.0
2025-03-12,36.0,15.0
2025-03-13,27.0,11.0
2025-03-14,41.0,18.0
2025-03-15,46.0,19.0
2025-03-16,47.0,19.0
2025-03-17,31.0,12.0
2025-03-18,25.0,9.0
2025-03-19,31.0,10.0
2025-03-20,28.0,10.0
2025-03-21,49.0,16.0
2025-03-22,48.0,19.0
2025-03-23,44.0,15.0
2025-03-24,30.0,9.0
2025-03-25,29.0,11.0
2025-03-26,32.0,15.0
2025-03-27,35.0,15.0
2025-03-28,44.0,14.0
2025-03-29,48.0,17.0
2025-03-30,45.0,19.0
2025-03-31,30.0,10.0
2025-04-01,32.0,12.0
2025-04-02,29.0,12.0
2025-04-03,30.0,10.0
2025-04-04,43.0,17.0
2025-04-05,53.0,18.0
2025-04-06,47.0,17.0
2025-04-07,30.0,12.0
2025-04-08,33.0,10.0
2025-04-09,32.0,13.0
2025-04-10,31.0,12.0
2025-04-11,49.0,20.0
2025-04-12,49.0,20.0
2025-04-13,46.0,21.0
2025-04-14,30.0,12.0
2025-04-15,31.0,11.0
2025-04-16,25.0,10.0
2025-04-17,28.0,12.0
2025-04-18,51.0,20.0
2025-04-19,52.0,20.0
2025-04-20,46.0,16.0
2025-04-21,34.0,12.0
2025-04-22,33.0,10.0
2025-04-23,41.0,19.0
2025-04-24,35.0,11.0
2025-04-25,46.0,17.0
2025-04-26,44.0,16.0
2025-04-27,42.0,18.0
2025-04-28,32.0,12.0
2025-04-29,29.0,14.0
2025-04-30,27.0,9.0
2025-05-01,30.0,12.0
2025-05-02,43.0,15.0
2025-05-03,51.0,24.0
2025-05-04,49.0,17.0
2025-05-05,31.0,13.0
2025-05-06,36.0,15.0
2025-05-07,31.0,13.0
2025-05-08,28.0,10.0
2025-05-09,51.0,20.0
2025-05-10,48.0,19.0
2025-05-11,43.0,16.0
2025-05-12,30.0,13.0
2025-05-13,28.0,15.0
2025-05-14,26.0,9.0
2025-05-15,33.0,10.0
2025-05-16,51.0,20.0
2025-05-17,41.0,21.0
2025-05-18,47.0,17.0
2025-05-19,28.0,14.0
2025-05-20,29.0,14.0
2025-05-21,28.0,10.0
2025-05-22,27.0,11.0
2025-05-23,45.0,21.0
2025-05-24,42.0,16.0
2025-05-25,45.0,17.0
2025-05-26,29.0,10.0
2025-05-27,29.0,9.0
2025-05-28,26.0,9.0
2025-05-29,27.0,8.0
2025-05-30,46.0,18.0
2025-05-31,45.0,16.0
2025-06-01,41.0,16.0
2025-06-02,29.0,8.0
2025-06-03,31.0,13.0
2025-06-04,23.0,10.0
2025-06-05,30.0,8.0
2025-06-06,41.0,17.0
2025-06-07,45.0,20.0
2025-06-08,41.0,13.0
2025-06-09,22.0,12.0
2025-06-10,23.0,10.0
2025-06-11,28.0,9.0
2025-06-12,28.0,11.0
2025-06-13,39.0,16.0
2025-06-14,44.0,17.0
2025-06-15,37.0,15.0
2025-06-16,27.0,8.0
2025-06-17,23.0,9.0
2025-06-18,24.0,6.0
2025-06-19,26.0,10.0
2025-06-20,39.0,13.0
2025-06-21,40.0,14.0
2025-06-22,44.0,20.0
2025-06-23,24.0,11.0
2025-06-24,28.0,12.0
2025-06-25,22.0,6.0
2025-06-26,27.0,10.0
2025-06-27,44.0,20.0
2025-06-28,33.0,13.0
2025-06-29,37.0,19.0
2025-06-30,26.0,11.0
2025-07-01,24.0,9.0
2025-07-02,26.0,9.0
2025-07-03,22.0,9.0
2025-07-04,39.0,15.0
2025-07-05,39.0,17.0
2025-07-06,42.0,18.0
2025-07-07,24.0,8.0
2025-07-08,25.0,7.0
2025-07-09,22.0,5.0
2025-07-10,22.0,9.0
2025-07-11,37.0,12.0
2025-07-12,39.0,11.0
2025-07-13,37.0,15.0
2025-07-14,24.0,14.0
2025-07-15,29.0,11.0
2025-07-16,25.0,11.0
2025-07-17,21.0,8.0
2025-07-18,41.0,16.0
2025-07-19,36.0,16.0
2025-07-20,31.0,11.0
2025-07-21,19.0,8.0
2025-07-22,16.0,7.0
2025-07-23,20.0,6.0
2025-07-24,21.0,10.0
2025-07-25,41.0,16.0
2025-07-26,37.0,13.0
2025-07-27,35.0,15.0
2025-07-28,23.0,7.0
2025-07-29,14.0,5.0
2025-07-30,21.0,8.0
2025-07-31,23.0,11.0
2025-08-01,31.0,13.0
2025-08-02,39.0,15.0
2025-08-03,36.0,16.0
2025-08-04,19.0,10.0
2025-08-05,22.0,9.0
2025-08-06,27.0,10.0
2025-08-07,20.0,5.0
2025-08-08,35.0,11.0
2025-08-09,33.0,12.0
2025-08-10,32.0,11.0
2025-08-11,22.0,8.0
2025-08-12,17.0,6.0
2025-08-13,19.0,8.0
2025-08-14,17.0,6.0
2025-08-15,35.0,14.0
2025-08-16,35.0,14.0
2025-08-17,37.0,10.0
2025-08-18,17.0,4.0
2025-08-19,18.0,6.0
2025-08-20,15.0,3.0
2025-08-21,17.0,7.0
2025-08-22,34.0,16.0
2025-08-23,35.0,16.0
2025-08-24,30.0,11.0
2025-08-25,21.0,11.0
2025-08-26,22.0,9.0
2025-08-27,19.0,6.0
2025-08-28,23.0,7.0
2025-08-29,30.0,11.0
2025-08-30,29.0,10.0
2025-08-31,27.0,11.0
2025-09-01,22.0,9.0
2025-09-02,19.0,7.0
2025-09-03,17.0,7.0
2025-09-04,18.0,9.0
2025-09-05,29.0,13.0
2025-09-06,40.0,13.0
2025-09-07,33.0,8.0
2025-09-08,17.0,8.0
2025-09-09,19.0,4.0
2025-09-10,19.0,7.0
2025-09-11,18.0,4.0
2025-09-12,30.0,8.0
2025-09-13,33.0,14.0
2025-09-14,38.0,16.0
2025-09-15,21.0,7.0
2025-09-16,22.0,3.0
2025-09-17,15.0,4.0
2025-09-18,14.0,6.0
2025-09-19,32.0,9.0
2025-09-20,32.0,13.0
2025-09-21,35.0,13.0
2025-09-22,12.0,5.0
2025-09-23,21.0,8.0
2025-09-24,16.0,4.0
2025-09-25,16.0,8.0
2025-09-26,29.0,11.0
2025-09-27,27.0,10.0
2025-09-28,34.0,11.0
2025-09-29,17.0,5.0
2025-09-30,13.0,3.0
2025-10-01,13.0,4.0
2025-10-02,16.0,9.0
2025-10-03,37.0,12.0
2025-10-04,31.0,9.0
2025-10-05,28.0,14.0
2025-10-06,16.0,5.0
2025-10-07,16.0,5.0
2025-10-08,9.0,5.0
2025-10-09,17.0,5.0
2025-10-10,32.0,16.0
2025-10-11,35.0,15.0
2025-10-12,38.0,14.0
2025-10-13,21.0,12.0
2025-10-14,17.0,5.0
2025-10-15,14.0,7.0
2025-10-16,25.0,10.0
2025-10-17,33.0,15.0
2025-10-18,33.0,16.0
2025-10-19,33.0,13.0
2025-10-20,19.0,6.0
2025-10-21,18.0,8.0
2025-10-22,17.0,5.0
2025-10-23,17.0,10.0
2025-10-24,33.0,13.0
2025-10-25,32.0,12.0
2025-10-26,31.0,12.0
2025-10-27,19.0,4.0
2025-10-28,18.0,5.0
2025-10-29,23.0,11.0
2025-10-30,11.0,3.0
2025-10-31,37.0,12.0
2025-11-01,38.0,16.0
2025-11-02,28.0,13.0
2025-11-03,18.0,8.0
2025-11-04,19.0,9.0
2025-11-05,16.0,4.0
2025-11-06,18.0,4.0
2025-11-07,32.0,15.0
2025-11-08,40.0,15.0
2025-11-09,38.0,14.0
2025-11-10,24.0,12.0
2025-11-11,23.0,10.0
2025-11-12,17.0,7.0
2025-11-13,19.0,11.0
2025-11-14,37.0,13.0
2025-11-15,32.0,14.0
2025-11-16,38.0,15.0
2025-11-17,21.0,8.0
2025-11-18,20.0,11.0
2025-11-19,24.0,10.0
2025-11-20,23.0,10.0
2025-11-21,36.0,16.0
2025-11-22,41.0,15.0
2025-11-23,34.0,11.0
2025-11-24,24.0,7.0
2025-11-25,24.0,5.0
2025-11-26,22.0,12.0
2025-11-27,24.0,7.0
2025-11-28,34.0,13.0
2025-11-29,41.0,15.0
2025-11-30,38.0,15.0
2025-12-01,22.0,10.0
2025-12-02,27.0,12.0
2025-12-03,22.0,7.0
2025-12-04,20.0,7.0
2025-12-05,35.0,14.0
2025-12-06,41.0,15.0
2025-12-07,36.0,17.0
2025-12-08,30.0,12.0
2025-12-09,19.0,9.0
2025-12-10,30.0,13.0
2025-12-11,26.0,12.0
2025-12-12,40.0,16.0
2025-12-13,39.0,13.0
2025-12-14,42.0,17.0
2025-12-15,26.0,9.0
2025-12-16,30.0,10.0
2025-12-17,27.0,11.0
2025-12-18,27.0,13.0
2025-12-19,41.0,16.0
2025-12-20,42.0,17.0
2025-12-21,43.0,20.0
2025-12-22,23.0,9.0
2025-12-23,24.0,14.0
2025-12-24,30.0,13.0
2025-12-25,29.0,8.0
2025-12-26,43.0,18.0
2025-12-27,44.0,18.0
2025-12-28,45.0,20.0
2025-12-29,27.0,12.0
2025-12-30,27.0,10.0
2025-12-31,30.0,9.0
